================ Training Loss (Tue Jan  9 20:02:37 2024) ================
(epoch: 72, iters: 132, time: 0.009, data: 0.002) G_GAN: 1.744 G_L1: 28.649 D_real: 0.522 D_fake: 0.208 
(epoch: 73, iters: 24, time: 0.026, data: 0.003) G_GAN: 1.200 G_L1: 26.413 D_real: 0.244 D_fake: 0.551 
(epoch: 73, iters: 324, time: 0.009, data: 0.002) G_GAN: 1.612 G_L1: 26.381 D_real: 0.168 D_fake: 0.478 
(epoch: 74, iters: 216, time: 0.024, data: 0.002) G_GAN: 1.193 G_L1: 25.145 D_real: 0.492 D_fake: 0.569 
(epoch: 75, iters: 108, time: 0.009, data: 0.002) G_GAN: 1.416 G_L1: 27.747 D_real: 0.308 D_fake: 0.343 
(epoch: 75, iters: 408, time: 0.006, data: 0.003) G_GAN: 1.912 G_L1: 26.653 D_real: 0.427 D_fake: 0.909 
(epoch: 76, iters: 300, time: 0.009, data: 6.791) G_GAN: 0.599 G_L1: 25.743 D_real: 0.859 D_fake: 0.359 
(epoch: 77, iters: 192, time: 0.034, data: 0.002) G_GAN: 0.866 G_L1: 25.406 D_real: 0.332 D_fake: 0.243 
(epoch: 78, iters: 84, time: 0.010, data: 0.003) G_GAN: 2.170 G_L1: 24.115 D_real: 0.102 D_fake: 0.826 
(epoch: 78, iters: 384, time: 0.010, data: 0.003) G_GAN: 1.803 G_L1: 27.994 D_real: 0.415 D_fake: 0.258 
(epoch: 79, iters: 276, time: 0.010, data: 0.003) G_GAN: 1.685 G_L1: 22.635 D_real: 1.152 D_fake: 0.604 
(epoch: 80, iters: 168, time: 0.027, data: 0.002) G_GAN: 0.839 G_L1: 27.308 D_real: 0.714 D_fake: 0.329 
(epoch: 81, iters: 60, time: 0.032, data: 0.002) G_GAN: 1.919 G_L1: 25.486 D_real: 0.232 D_fake: 0.276 
(epoch: 81, iters: 360, time: 0.014, data: 0.002) G_GAN: 2.174 G_L1: 26.819 D_real: 0.044 D_fake: 0.678 
(epoch: 82, iters: 252, time: 0.009, data: 0.002) G_GAN: 1.517 G_L1: 27.740 D_real: 0.157 D_fake: 0.579 
(epoch: 83, iters: 144, time: 0.029, data: 0.003) G_GAN: 0.757 G_L1: 26.377 D_real: 0.490 D_fake: 0.330 
(epoch: 84, iters: 36, time: 0.010, data: 0.003) G_GAN: 1.485 G_L1: 24.729 D_real: 0.269 D_fake: 0.354 
(epoch: 84, iters: 336, time: 0.010, data: 0.002) G_GAN: 2.085 G_L1: 24.819 D_real: 1.117 D_fake: 0.042 
(epoch: 85, iters: 228, time: 0.009, data: 0.003) G_GAN: 0.350 G_L1: 24.361 D_real: 1.548 D_fake: 0.284 
(epoch: 86, iters: 120, time: 0.028, data: 0.002) G_GAN: 0.975 G_L1: 24.090 D_real: 0.800 D_fake: 0.205 
(epoch: 87, iters: 12, time: 0.015, data: 0.002) G_GAN: 1.367 G_L1: 24.284 D_real: 0.193 D_fake: 0.444 
(epoch: 87, iters: 312, time: 0.009, data: 0.002) G_GAN: 0.436 G_L1: 25.744 D_real: 1.570 D_fake: 0.313 
(epoch: 88, iters: 204, time: 0.009, data: 0.003) G_GAN: 0.440 G_L1: 24.483 D_real: 0.631 D_fake: 0.245 
(epoch: 89, iters: 96, time: 0.028, data: 0.002) G_GAN: 1.633 G_L1: 24.119 D_real: 0.194 D_fake: 0.444 
(epoch: 89, iters: 396, time: 0.009, data: 0.004) G_GAN: 2.668 G_L1: 27.287 D_real: 0.206 D_fake: 0.166 
(epoch: 90, iters: 288, time: 0.009, data: 0.002) G_GAN: 2.159 G_L1: 25.071 D_real: 0.150 D_fake: 1.422 
(epoch: 91, iters: 180, time: 0.009, data: 0.002) G_GAN: 0.996 G_L1: 26.773 D_real: 0.351 D_fake: 0.301 
